Date,Close,High,Low,Open,Volume
2024-01-29,479.4182434082031,479.564648526909,475.4171785408518,475.9636663212125,61322800
2024-01-30,479.0474548339844,479.75982476451486,478.2862434868122,478.72539929766515,58618400
2024-01-31,471.23065185546875,477.28106061845324,471.21111529014115,476.8321663361625,126011100
2024-02-01,477.398193359375,477.427468426182,472.12844308332853,472.93843623390336,91891600
2024-02-02,482.4239807128906,484.08295092354996,477.49579237271115,477.8373546982843,99228200
2024-02-05,480.6673278808594,482.4531962116921,478.40332000342494,481.78960820936385,75757100
2024-02-06,482.0628967285156,482.3946907604105,480.17943474492984,481.6139726429951,55918600
2024-02-07,486.0834655761719,486.5030847840718,483.4095471530847,484.31713376491945,70556500
2024-02-08,486.2982177734375,486.67879367849736,485.2637922717278,486.0835240024401,52343600
2024-02-09,489.10870361328125,489.5478296216965,486.46406015452993,486.805622459753,63979400
2024-02-12,488.89398193359375,491.3531767842972,488.17181401431174,489.0794006092278,56502300
2024-02-13,482.1604309082031,485.0978249437322,478.8815043599049,482.5995866836909,113099200
2024-02-14,486.5421447753906,487.0300824146668,482.4727317600331,484.8050879708214,68387800
2024-02-15,489.899169921875,490.08458861177627,486.7665887596598,487.2447879089923,61683000
2024-02-16,487.45947265625,490.73839931554534,486.71779791035453,489.5966419107854,75532900
2024-02-20,484.77581787109375,486.3860061409344,482.5215483370468,485.7126498093255,71736700
2024-02-21,485.2149353027344,485.3710789199038,481.6529965187708,483.4681400096849,59293400
2024-02-22,495.2567138671875,496.22282088243315,490.88478180969435,491.85091860629063,76402500
2024-02-23,495.5982971191406,497.8232917019366,494.8663906145189,496.9840234236674,61321800
2024-02-26,493.78314208984375,496.47656749463823,493.65627353362504,496.0374116894735,50386700
2024-02-27,494.700439453125,494.92490148468676,492.5730385293385,494.47600720291285,48854500
2024-02-28,494.0466613769531,494.6321627585008,492.778005560445,493.1390746728501,56506600
2024-02-29,495.8227233886719,497.4426800063986,493.1586028041446,495.81298488671405,83924800
2024-03-01,500.4776306152344,500.90701813560685,496.2911469636296,496.70102769902195,76844800
2024-03-04,499.94091796875,501.79510491460894,499.64816728327304,499.6774721331723,49799300
2024-03-05,494.9444274902344,498.3795276061861,492.7292012805933,497.9306035256283,72855600
2024-03-06,497.4524230957031,499.7164608888025,496.1545220794044,498.23311140577533,68382400
2024-03-07,502.390380859375,503.4443429029918,497.5110041646538,500.7606857208952,58652100
2024-03-08,499.3749084472656,505.7180680999103,498.7991455954804,503.0247023113752,86532500
2024-03-11,498.9455261230469,499.53105726392937,496.2325939589306,498.1648377894375,62557200
2024-03-12,504.3128662109375,504.89836756595776,498.5356415487977,501.0631847838215,73114400
2024-03-13,503.5223693847656,504.8105319780075,502.078092945087,504.6348815647523,55104100
2024-03-14,502.5270080566406,504.6544091071824,499.4725135393552,504.4982357008347,110171800
2024-03-15,499.0763244628906,500.906906313764,497.4024012478183,499.44831403821377,107646300
2024-03-18,502.0423889160156,504.6071212896662,501.6312645749848,503.15835758943143,88893300
2024-03-19,504.8323669433594,505.11622858588777,500.3391555977347,501.3474589189953,60755300
2024-03-20,509.5016784667969,509.63873983527566,504.21561462485215,504.89106308633967,69594600
2024-03-21,511.1853942871094,513.0550809055346,510.901472936943,512.350296341864,60256100
2024-03-22,510.2163391113281,511.58677360023546,509.9813511510512,511.09731990824747,79070800
2024-03-25,508.8066711425781,509.9617745975222,508.65001251438474,508.83600729301406,48512100
2024-03-26,507.8669128417969,510.5785052830904,507.46558712286134,510.23585186667015,65463700
2024-03-27,512.1349487304688,512.174143263585,508.53257680183424,510.7057822180554,82999800
2024-03-28,512.0370483398438,513.5445440719409,511.7531867321709,512.1741097012416,96294900
2024-04-01,511.1462707519531,513.3194762872985,509.98136853540166,512.781089157312,62477500
2024-04-02,507.8963623046875,508.0333639379419,505.5860953386836,507.3089819922044,74230300
2024-04-03,508.4541931152344,509.96174853268013,506.75090404419194,506.79983745759114,59155800
2024-04-04,502.2479553222656,512.8201417862783,501.94449646141624,512.477548144201,96858100
2024-04-05,507.4949035644531,509.4625167939743,503.1681500346875,503.60867026854095,74546500
2024-04-08,507.7788391113281,509.20806548436997,506.96638895369995,508.19982188899013,48401800
